Step;LeftDown;Left;LeftUp;Up;RightUp;Right;RightDown;Down
1;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
2;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
3;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
4;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
5;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
6;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
7;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
8;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
9;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
10;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
11;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
12;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
13;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
14;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
15;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
16;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
17;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
18;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
19;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
20;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
21;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
22;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
23;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
24;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
25;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
26;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
27;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
28;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
29;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
30;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
31;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
32;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
33;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
34;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
35;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
36;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
37;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
38;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
39;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
40;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
41;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
42;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
43;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
44;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
45;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
46;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
47;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
48;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
49;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
50;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
51;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
52;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
53;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
54;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
55;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
56;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
57;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
58;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
59;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
60;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
61;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
62;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
63;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
64;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
65;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
66;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
67;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
68;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
69;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
70;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
71;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
72;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
73;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
74;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
75;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
76;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
77;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
78;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
79;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
80;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
81;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
82;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
83;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
84;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
85;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
86;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
87;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
88;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
89;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
90;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
91;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
92;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
93;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
94;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
95;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
96;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
97;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
98;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
99;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
100;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
101;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
102;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
103;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
104;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
105;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
106;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
107;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
108;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
109;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
110;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
111;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
112;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
113;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
114;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
115;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
116;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
117;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
118;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
119;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
120;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
121;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
122;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
123;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
124;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
126;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
127;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
128;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
129;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
130;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
131;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
132;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
133;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
134;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
135;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
136;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
137;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
138;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
139;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
140;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
141;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
142;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
143;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
144;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
145;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
146;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
147;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
148;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
149;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
150;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
151;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
152;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
153;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
154;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
155;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
156;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
157;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
158;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
159;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
160;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
161;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
162;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
163;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
164;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
165;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
166;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
167;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
168;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
169;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
170;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
171;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
172;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
173;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
174;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
175;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
176;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
177;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
178;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
179;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
180;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
181;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
182;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
183;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
184;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
185;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
186;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
187;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
188;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
189;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
190;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
191;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
192;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
193;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
194;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
195;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
196;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
197;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
198;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
199;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
200;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
201;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
202;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
203;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
204;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
205;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
206;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
207;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
208;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
209;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
210;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
211;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
212;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
213;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
214;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
215;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
216;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
217;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
218;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
219;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
220;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
221;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
222;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
223;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
224;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
225;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
226;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
227;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
228;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
229;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
230;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
231;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
232;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
233;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
234;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
235;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
236;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
237;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
238;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
239;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
240;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
241;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
242;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
243;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
244;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
245;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
246;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
247;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
248;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
249;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
250;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
251;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
252;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
253;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
254;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
255;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
256;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
257;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
258;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
259;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
260;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
261;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
262;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
263;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
264;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
265;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
266;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
267;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
268;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
269;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
270;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
271;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
272;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
273;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
274;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
275;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
276;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
277;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
278;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
279;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
280;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
281;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
282;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
283;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
284;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
285;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
286;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
287;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
288;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
289;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
290;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
291;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
292;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
293;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
294;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
295;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
296;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
297;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
298;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
299;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
300;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
301;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
302;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
303;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
304;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
305;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
306;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
307;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
308;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
309;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
310;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
311;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
312;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
313;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
314;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
315;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
316;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
317;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
318;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
319;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
320;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
321;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
322;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
323;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
324;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
325;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
326;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
327;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
328;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
329;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
330;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
331;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
332;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
333;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
334;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
335;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
336;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
337;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
338;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
339;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
340;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
341;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
342;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
343;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
344;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
345;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
346;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
347;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
348;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
349;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
350;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
351;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
352;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
353;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
354;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
355;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
356;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
357;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
358;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
359;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
360;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
361;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
362;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
363;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
364;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
365;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
366;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
367;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
368;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
369;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
370;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
371;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
372;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
373;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
374;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
375;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
376;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
377;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
378;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
379;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
380;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
381;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
382;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
383;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
384;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
385;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
386;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
387;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
388;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
389;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
390;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
391;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
392;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
393;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
394;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
395;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
396;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
397;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
398;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
399;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
400;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
